seed,arm,k,hit_k
0,entropy,43,0.594
0,entropy,44,0.599
0,entropy,45,0.607
0,entropy,46,0.61
0,entropy,47,0.619
0,entropy,48,0.63
0,entropy,49,0.639
0,entropy,50,0.646
0,entropy,51,0.651
0,entropy,52,0.656
0,entropy,53,0.661
0,entropy,54,0.668
0,entropy,55,0.675
0,entropy,56,0.684
0,entropy,57,0.692
0,entropy,58,0.699
0,entropy,59,0.705
0,entropy,60,0.71
0,entropy,61,0.716
0,entropy,62,0.721
0,entropy,63,0.727
0,entropy,64,0.729
0,entropy,65,0.732
0,entropy,66,0.737
0,entropy,67,0.746
0,entropy,68,0.754
0,entropy,69,0.757
0,entropy,70,0.76
0,entropy,71,0.761
0,entropy,72,0.771
0,entropy,73,0.778
0,entropy,74,0.786
0,entropy,75,0.794
0,entropy,76,0.806
0,entropy,77,0.812
0,entropy,78,0.82
0,entropy,79,0.824
0,entropy,80,0.831
0,entropy,81,0.837
0,entropy,82,0.84
0,entropy,83,0.843
0,entropy,84,0.846
0,entropy,85,0.855
0,entropy,86,0.859
0,entropy,87,0.861
0,entropy,88,0.864
0,entropy,89,0.868
0,entropy,90,0.872
0,entropy,91,0.882
0,entropy,92,0.889
0,entropy,93,0.893
0,entropy,94,0.894
0,entropy,95,0.901
0,entropy,96,0.909
0,entropy,97,0.916
0,entropy,98,0.919
0,entropy,99,0.923
0,entropy,100,0.926
0,entropy,101,0.93
0,entropy,102,0.935
0,entropy,103,0.94
0,entropy,104,0.941
0,entropy,105,0.946
0,entropy,106,0.951
0,entropy,107,0.953
0,entropy,108,0.96
0,entropy,109,0.963
0,entropy,110,0.966
0,entropy,111,0.968
0,entropy,112,0.97
0,entropy,113,0.973
0,entropy,114,0.976
0,entropy,115,0.977
0,entropy,116,0.979
0,entropy,117,0.983
0,entropy,118,0.986
0,entropy,119,0.99
0,entropy,120,0.993
0,entropy,121,0.996
0,entropy,122,0.998
0,entropy,123,1.0
0,entropy,124,1.0
0,entropy,125,1.0
2,control,1,0.024
2,control,2,0.046
2,control,3,0.07
2,control,4,0.099
2,control,5,0.118
2,control,6,0.136
2,control,7,0.152
2,control,8,0.168
2,control,9,0.191
2,control,10,0.205
2,control,11,0.215
2,control,12,0.221
2,control,13,0.232
2,control,14,0.238
2,control,15,0.251
2,control,16,0.265
2,control,17,0.276
2,control,18,0.286
2,control,19,0.305
2,control,20,0.322
2,control,21,0.338
2,control,22,0.348
2,control,23,0.363
2,control,24,0.376
2,control,25,0.382
2,control,26,0.397
2,control,27,0.415
2,control,28,0.429
2,control,29,0.448
2,control,30,0.463
2,control,31,0.475
2,control,32,0.484
2,control,33,0.499
2,control,34,0.522
2,control,35,0.534
2,control,36,0.547
2,control,37,0.556
2,control,38,0.566
2,control,39,0.572
2,control,40,0.585
2,control,41,0.59
2,control,42,0.598
2,control,43,0.605
2,control,44,0.611
2,control,45,0.616
2,control,46,0.628
2,control,47,0.635
2,control,48,0.642
2,control,49,0.65
2,control,50,0.658
2,control,51,0.665
2,control,52,0.673
2,control,53,0.68
2,control,54,0.686
2,control,55,0.689
2,control,56,0.693
2,control,57,0.697
2,control,58,0.704
2,control,59,0.708
2,control,60,0.712
2,control,61,0.714
2,control,62,0.72
2,control,63,0.721
2,control,64,0.726
2,control,65,0.733
2,control,66,0.734
2,control,67,0.739
2,control,68,0.746
2,control,69,0.75
2,control,70,0.752
2,control,71,0.754
2,control,72,0.759
2,control,73,0.766
2,control,74,0.766
2,control,75,0.772
2,control,76,0.776
2,control,77,0.783
2,control,78,0.789
2,control,79,0.792
2,control,80,0.795
2,control,81,0.803
2,control,82,0.806
2,control,83,0.814
2,control,84,0.823
2,control,85,0.826
2,control,86,0.833
2,control,87,0.834
2,control,88,0.842
2,control,89,0.847
2,control,90,0.849
2,control,91,0.855
2,control,92,0.861
2,control,93,0.865
2,control,94,0.871
2,control,95,0.879
2,control,96,0.884
2,control,97,0.889
2,control,98,0.89
2,control,99,0.896
2,control,100,0.901
2,control,101,0.903
2,control,102,0.908
2,control,103,0.915
2,control,104,0.919
2,control,105,0.924
2,control,106,0.932
2,control,107,0.941
2,control,108,0.948
2,control,109,0.958
2,control,110,0.961
2,control,111,0.967
2,control,112,0.968
