model,seed,arm,phase,evaluation_set,family,depth,score_key,method,target_control,tasks,rows,mrr,correct_mass,hit@1,hit@8,hit@16,hit@32,hit@64,hit@100,hit@125,iid_pass@1,iid_pass@8,iid_pass@16,iid_pass@32,iid_pass@64,iid_pass@100,iid_pass@125
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,full,minus_bias_only,200,200,0.048435940472857875,0.014057136468936695,0.0,0.1,0.32,0.52,0.585,0.92,1.0,0.014057136468936695,0.09744216584817846,0.16786286756424182,0.2595064920884991,0.351428701823695,0.4018769686376407,0.4238917298199145
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,full,shuffled_program_bias,200,200,0.03212431462936073,0.0006840700439653638,0.0,0.05,0.125,0.21,0.535,0.755,1.0,0.0006840700439653638,0.00448669497023771,0.007419562669501223,0.011115129456397999,0.015508018178290941,0.019004853820401374,0.02105828762994784
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,train_frequency,task_blind,200,200,0.009924886738241658,0.00038095238095238107,0.0,0.0,0.0,0.0,0.0,0.4565217391304347,1.0,0.00038095238095238107,0.003043558650075675,0.0060778540508949,0.012118767791925823,0.02409067105105702,0.03738572844563032,0.046511695822809625
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,train_antifrequency,task_blind,200,200,0.09601494013013269,0.02062461850020644,0.021739130434782594,0.17391304347826084,0.3478260869565217,0.6956521739130433,1.0,1.0,1.0,0.02062461850020644,0.15356529081616016,0.2835482830888684,0.4866969373350916,0.7365199658588253,0.8755719490071155,0.9260994155389659
Qwen/Qwen3-8B,2,atomic_control,,dev_B,B,3,score,train_unseen_first,task_blind,200,200,0.09601494013013269,0.013322235759508442,0.021739130434782594,0.17391304347826084,0.3478260869565217,0.6956521739130433,1.0,1.0,1.0,0.013322235759508442,0.1017386189623677,0.19312649133636564,0.348955141016836,0.5761405915915921,0.738462417123654,0.812967261787282
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,raw,own_target,200,200,0.07765695489546272,0.02470722256084055,0.025,0.145,0.215,0.415,0.685,0.865,1.0,0.02470722256084055,0.06736208841141801,0.08797279681215127,0.11170957046646574,0.136150994857447,0.15116891084003548,0.15828182830182785
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,unigram,own_target,200,200,0.07821754530813012,0.018584660774124906,0.02,0.135,0.23,0.49,0.78,0.89,1.0,0.018584660774124906,0.07350507689403461,0.09896165337828002,0.1255018241629482,0.1535950267462776,0.17285932429437217,0.1828410537946211
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,unigram,minus_bias_only,200,200,0.05208707730383578,0.012022394983694094,0.015,0.07,0.15,0.255,0.53,0.835,1.0,0.012022394983694094,0.032200911475435384,0.042708742862165805,0.055747950339266744,0.07249837345074621,0.08651537159946096,0.0945865733468364
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,unigram,shuffled_program_bias,200,200,0.07845870211263105,0.032601303529696216,0.035,0.115,0.215,0.355,0.715,0.87,1.0,0.032601303529696216,0.037551640739648666,0.03992567853614181,0.044205895604519624,0.05126271205914213,0.057451369156360246,0.06096963438123888
Qwen/Qwen3-8B,2,atomic_control,,dev_C,C,3,score,positional,own_target,200,200,0.07798719428247095,0.01945173723688538,0.02,0.145,0.235,0.48,0.76,0.915,1.0,0.01945173723688538,0.08848188359511623,0.13234106190242426,0.19088692561614476,0.26391555692229085,0.31719149275157976,0.3450667423376645
