run,operation,field,degree,n,parse_rate,accuracy
q06_mask1_ce_seed0,SH1,7,3,1,1.0,0.0
q06_mask1_ce_seed0,SH1,7,4,11,0.9090909090909091,0.0
q06_mask1_ce_seed0,SH1,13,2,3,1.0,0.0
q06_mask1_ce_seed0,SH1,13,3,21,0.9523809523809523,0.047619047619047616
q06_mask1_ce_seed0,SH1,13,4,24,1.0,0.0
q06_mask1_ce_seed0,SH1,19,2,11,1.0,0.0
q06_mask1_ce_seed0,SH1,19,3,18,0.9444444444444444,0.0
q06_mask1_ce_seed0,SH1,19,4,13,0.5384615384615384,0.0
q06_mask1_ce_seed0,SH1,23,2,7,1.0,0.0
q06_mask1_ce_seed0,SH1,23,3,17,0.8823529411764706,0.0
q06_mask1_ce_seed0,SH1,23,4,20,0.75,0.0
q06_mask1_ce_seed0,SH1,29,2,13,1.0,0.0
q06_mask1_ce_seed0,SH1,29,3,18,1.0,0.0
q06_mask1_ce_seed0,SH1,29,4,11,0.7272727272727273,0.0
q06_mask1_initial,AC1,5,4,6,1.0,1.0
q06_mask1_initial,AC1,7,2,3,1.0,1.0
q06_mask1_initial,AC1,7,3,5,1.0,1.0
q06_mask1_initial,AC1,7,4,18,1.0,1.0
q06_mask1_initial,AC1,13,2,3,1.0,1.0
q06_mask1_initial,AC1,13,3,14,1.0,1.0
q06_mask1_initial,AC1,13,4,22,1.0,1.0
q06_mask1_initial,AC1,19,2,4,1.0,1.0
q06_mask1_initial,AC1,19,3,16,1.0,1.0
q06_mask1_initial,AC1,19,4,17,1.0,1.0
q06_mask1_initial,AC1,23,2,6,1.0,1.0
q06_mask1_initial,AC1,23,3,25,1.0,1.0
q06_mask1_initial,AC1,23,4,17,1.0,1.0
q06_mask1_initial,AC1,29,2,8,1.0,1.0
q06_mask1_initial,AC1,29,3,19,1.0,1.0
q06_mask1_initial,AC1,29,4,17,1.0,1.0
q06_mask1_initial,AX1,5,4,8,1.0,1.0
q06_mask1_initial,AX1,7,4,6,1.0,1.0
q06_mask1_initial,AX1,13,3,23,1.0,1.0
q06_mask1_initial,AX1,13,4,15,1.0,1.0
q06_mask1_initial,AX1,19,2,8,1.0,1.0
q06_mask1_initial,AX1,19,3,17,1.0,1.0
q06_mask1_initial,AX1,19,4,22,1.0,1.0
q06_mask1_initial,AX1,23,2,9,1.0,1.0
q06_mask1_initial,AX1,23,3,21,1.0,1.0
q06_mask1_initial,AX1,23,4,13,1.0,1.0
q06_mask1_initial,AX1,29,2,18,1.0,1.0
q06_mask1_initial,AX1,29,3,23,1.0,1.0
q06_mask1_initial,AX1,29,4,17,1.0,1.0
q06_mask1_initial,REV,5,4,7,1.0,1.0
q06_mask1_initial,REV,7,3,1,1.0,1.0
q06_mask1_initial,REV,7,4,16,1.0,1.0
q06_mask1_initial,REV,13,2,2,1.0,1.0
q06_mask1_initial,REV,13,3,15,1.0,1.0
q06_mask1_initial,REV,13,4,21,1.0,1.0
q06_mask1_initial,REV,19,2,7,1.0,1.0
q06_mask1_initial,REV,19,3,11,1.0,1.0
q06_mask1_initial,REV,19,4,20,1.0,1.0
q06_mask1_initial,REV,23,2,10,1.0,1.0
q06_mask1_initial,REV,23,3,18,1.0,1.0
q06_mask1_initial,REV,23,4,23,1.0,1.0
q06_mask1_initial,REV,29,2,20,1.0,1.0
q06_mask1_initial,REV,29,3,14,1.0,1.0
q06_mask1_initial,REV,29,4,15,1.0,1.0
q06_mask1_initial,SC2,5,3,1,1.0,0.0
q06_mask1_initial,SC2,5,4,2,1.0,0.0
q06_mask1_initial,SC2,7,3,4,1.0,0.75
q06_mask1_initial,SC2,7,4,9,1.0,0.3333333333333333
q06_mask1_initial,SC2,13,2,6,1.0,0.3333333333333333
q06_mask1_initial,SC2,13,3,16,1.0,0.25
q06_mask1_initial,SC2,13,4,14,1.0,0.0
q06_mask1_initial,SC2,19,2,15,1.0,0.4666666666666667
q06_mask1_initial,SC2,19,3,17,1.0,0.058823529411764705
q06_mask1_initial,SC2,19,4,20,1.0,0.0
q06_mask1_initial,SC2,23,2,10,1.0,0.0
q06_mask1_initial,SC2,23,3,9,1.0,0.0
q06_mask1_initial,SC2,23,4,22,1.0,0.0
q06_mask1_initial,SC2,29,2,13,1.0,0.46153846153846156
q06_mask1_initial,SC2,29,3,26,1.0,0.038461538461538464
q06_mask1_initial,SC2,29,4,16,1.0,0.0
q06_mask1_initial,SH1,5,3,3,1.0,0.0
q06_mask1_initial,SH1,5,4,7,1.0,0.0
q06_mask1_initial,SH1,7,2,2,1.0,0.0
q06_mask1_initial,SH1,7,3,1,1.0,0.0
q06_mask1_initial,SH1,7,4,11,1.0,0.0
q06_mask1_initial,SH1,13,2,3,1.0,0.0
q06_mask1_initial,SH1,13,3,21,1.0,0.0
q06_mask1_initial,SH1,13,4,24,1.0,0.0
q06_mask1_initial,SH1,19,2,11,1.0,0.0
q06_mask1_initial,SH1,19,3,18,1.0,0.0
q06_mask1_initial,SH1,19,4,13,1.0,0.0
q06_mask1_initial,SH1,23,2,7,1.0,0.0
q06_mask1_initial,SH1,23,3,17,1.0,0.0
q06_mask1_initial,SH1,23,4,20,1.0,0.0
q06_mask1_initial,SH1,29,2,13,1.0,0.0
q06_mask1_initial,SH1,29,3,18,1.0,0.0
q06_mask1_initial,SH1,29,4,11,1.0,0.0
