seed,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
83000,random,s4c-0fad83a4e32b23d20c8eed65,0fad83a4e32b23d20c8eed65927d472d0f6fa73a7aac4b103c72d4fe17735962,9,3,3.6390487631961106,38.0556195966419,0.047407307923232604,0.4931561422061944
83000,random,s4c-0fd9397ad96d699d6a27e85b,0fd9397ad96d699d6a27e85b986c2c288e8a6f73a3cf55557a241904d5cfbdd9,39,3,4.191369329099251,66.11325981596778,0.018148987051675353,1.0788608112285085
83000,random,s4c-106d72c87aa28af6ec9e3e41,106d72c87aa28af6ec9e3e410c868988c2bcd2b8899563df4f1b27068fbaefe9,50,1,3.3260906375789747,27.8293338145795,0.002119485830384981,-0.0
83000,random,s4c-106fd32c77c6bab254eb78d3,106fd32c77c6bab254eb78d3f9d9ed5e35d9771e3d762faf5c7d0d31bae692c9,27,3,4.299275084503871,73.64638693711511,0.019183449174900183,0.8201631990452405
83000,random,s4c-109303c2640478c7b573278b,109303c2640478c7b573278beba095fdbe55cabb239eb09620b35a938ed3f6cc,49,1,4.227701929567671,68.559496447719,0.005928538950263026,-0.0
83000,random,s4c-10bfba81d8b198266ee7fee5,10bfba81d8b198266ee7fee5440dddb778be708151a5aaa0764b3060a0eabf6a,20,1,4.208263897347301,67.23970339202923,0.014560443473718687,-0.0
83000,random,s4c-11258fe01e5c4de3be2f9672,11258fe01e5c4de3be2f967299d6eca6030ec6bc05687d8a4b6a73af512213bf,19,1,4.010118134283695,55.15338568433783,0.013107114592223667,-0.0
83000,random,s4c-11686f354e4ffb49d3823d3c,11686f354e4ffb49d3823d3c8e01dad721c2caac47bf96614db0eeb6d50e2276,19,3,4.2657283686429075,71.21677315140063,0.021414005431933582,0.620996772795964
83000,random,s4c-1176996b4bdc4bda486c17fe,1176996b4bdc4bda486c17fe7104454e72ca9ff244e10596045447b6a970984f,30,1,4.206364149455343,67.11208616591381,0.011150264360792878,-0.0
83000,random,s4c-11781109cfb779b6d407dfb6,11781109cfb779b6d407dfb6921e93d0327530acce1e13c472a83ee4ee86f2cf,42,3,4.154916594616237,63.74664751248194,0.009016931899454309,0.6590666071928725
83000,random,s4c-11bcadf8c7518ad1f60c689b,11bcadf8c7518ad1f60c689baf151bf2f69320e762f40e9ae8c5ec1e81b9e069,47,3,3.967668152747991,52.861122947135534,0.010195558947400648,1.0462071842841068
83000,random,s4c-11fe123b35b389115835c70a,11fe123b35b389115835c70a850e3886a8ec9015824786556d0071e409b1eb06,10,1,3.739520234351947,42.077797839643004,0.033890680191375255,-0.0
83000,random,s4c-124d3f2873d44c50c7d2653f,124d3f2873d44c50c7d2653f45e56a160979cb7c5fa2de3095e1026711b52bb7,16,1,4.403299978313424,81.72009874756594,0.018117199397698822,-0.0
83000,random,s4c-12530bb38be59446b1cb7907,12530bb38be59446b1cb7907a15e34264e0b36bdb87280e7d104333f82df04af,47,3,4.346181171246496,77.18315017656245,0.01186799878708346,0.9199117054482568
83000,random,s4c-127e1ad60fd27ef630ee6d44,127e1ad60fd27ef630ee6d448ee7d015d1b98010577e81b99f4c1eddb32d325d,56,1,4.170447203597515,64.74439956262091,0.004956489022981957,-0.0
83000,random,s4c-129fd7acaa862d702b8d9090,129fd7acaa862d702b8d909028d3f3d6c09fa6005516097be92f3d2831024e9b,43,3,3.2797503289891377,26.569138328079152,0.003445923226732367,0.2638140968229301
83000,random,s4c-12eb86e14330ce148dd6085b,12eb86e14330ce148dd6085b45ed0580c6288e800d05cfe5fd139157e45075f2,10,3,4.171889131887193,64.8378236832027,0.04131944313652275,0.7780367692485077
83000,random,s4c-130664885a66e197d505693c,130664885a66e197d505693c1cab37e0bc552af024ec922a8908d40ef03a8445,12,1,3.7432590709797515,42.235414318947505,0.02236199273219502,-0.0
83000,random,s4c-1332ba050bb8c0411e7a7a08,1332ba050bb8c0411e7a7a0823192e9f45fdb57320d662ab597ab1bb7279a881,10,3,4.3262505393935005,75.66006962150281,0.032302196078758595,0.6395854733018369
83000,random,s4c-13ad03130b7198d43a2a9cb8,13ad03130b7198d43a2a9cb83b1eca3e40ea95d9a61d41b0b21b17d522b2c905,10,3,4.237299599153317,69.22067565598788,0.027586996142060595,0.6446952656913378
83000,random,s4c-13cc0bcfb11f07e441d4eed9,13cc0bcfb11f07e441d4eed9e332208c19a9549a464d80d49103474caca37245,28,1,3.4574242523906378,31.735129467392095,0.009055285408164686,-0.0
83000,random,s4c-13fdfecb420bfc0671d0194c,13fdfecb420bfc0671d0194c06e2076be6b5fe7c5548abadfb581c79dafb081f,57,1,3.7569866600300665,42.819202564935836,0.0024853966562017,-0.0
83000,random,s4c-142d70b3da7f54b9e2f94e38,142d70b3da7f54b9e2f94e3868166dc80fd640c7683b5f16a18c7f292a821efc,32,3,4.329871068291119,75.93449557373867,0.016822378010774026,0.8889139893752241
83000,random,s4c-14bd44d708de130ea384edb3,14bd44d708de130ea384edb37c63fe7d84b37a2108232e4f1748379309983c08,73,1,3.415124247319685,30.420728886793533,0.0009156430592363926,-0.0
83000,random,s4c-14c844a04f54d5969c51f392,14c844a04f54d5969c51f3926ae168c260f8d2be0169ec7d542aa69ba0035503,1,3,3.5068382186106732,33.342678686145874,0.14865660837727326,0.35698421735288566
83000,random,s4c-14cafc91507910987f5c1da4,14cafc91507910987f5c1da4e470769bdf550e23b47524d2a6e00079ed393c2c,59,1,3.7763677213227074,43.65717835415389,0.0027587045828250875,-0.0
83000,random,s4c-14ce8749383e74762211f8ca,14ce8749383e74762211f8cafae21cae53d4a774b0ae118c0b60483bdeedbc19,21,2,4.114545724994177,61.22439523198469,0.0171253673446892,0.5269578017116644
83000,random,s4c-14ee73bb1b668b662f2eade7,14ee73bb1b668b662f2eade73647c6489d40283dd4319fa88d48cb177d260e46,5,3,4.184151057508582,65.63775457846515,0.044793219665152074,0.5896392538686821
