split,depth,k,atomic_control,composition,delta,delta_ci95_low,delta_ci95_high,sign_flip_p
capacity_d3_heldout,3,41,0.46666666666666673,0.9677777777777777,0.5011111111111112,0.31663457526972916,0.6855876469524932,
capacity_d3_heldout,3,42,0.47444444444444445,0.9688888888888889,0.49444444444444446,0.30996790860306256,0.6789209802858264,
capacity_d3_heldout,3,43,0.48222222222222216,0.9733333333333333,0.4911111111111111,0.3124884747596192,0.6697337474626031,
capacity_d3_heldout,3,44,0.49444444444444446,0.9744444444444444,0.48,0.30769480906713176,0.6523051909328682,
capacity_d3_heldout,3,45,0.5055555555555555,0.9755555555555556,0.47,0.3045979602367772,0.6354020397632227,
capacity_d3_heldout,3,46,0.5144444444444445,0.9766666666666666,0.46222222222222226,0.3020144195273542,0.6224300249170903,
capacity_d3_heldout,3,47,0.5233333333333333,0.9788888888888888,0.45555555555555555,0.3005686012699327,0.6105425098411784,
capacity_d3_heldout,3,48,0.5344444444444444,0.9788888888888888,0.4444444444444445,0.28857520435413314,0.6003136845347559,
capacity_d3_heldout,3,49,0.5422222222222222,0.9811111111111112,0.4388888888888889,0.28501190558977074,0.592765872188007,
capacity_d3_heldout,3,50,0.5588888888888889,0.9811111111111112,0.4222222222222222,0.2758820434381336,0.5685624010063108,
capacity_d3_heldout,3,51,0.5677777777777778,0.9833333333333334,0.4155555555555555,0.2909811931722136,0.5401299179388974,
capacity_d3_heldout,3,52,0.5766666666666667,0.9833333333333334,0.4066666666666667,0.2916308532580951,0.5217024800752382,
capacity_d3_heldout,3,53,0.5822222222222222,0.9844444444444443,0.4022222222222222,0.2993532782864353,0.5050911661580091,
capacity_d3_heldout,3,54,0.5977777777777779,0.9844444444444443,0.38666666666666666,0.27902069915748573,0.4943126341758476,
capacity_d3_heldout,3,55,0.61,0.9844444444444443,0.3744444444444444,0.24768759146043065,0.5012012974284582,
capacity_d3_heldout,3,56,0.62,0.9855555555555555,0.3655555555555556,0.2401583077033232,0.49095280340778796,
capacity_d3_heldout,3,57,0.63,0.9855555555555555,0.35555555555555557,0.24528752904674034,0.4658235820643708,
capacity_d3_heldout,3,58,0.6377777777777777,0.9877777777777778,0.35000000000000003,0.23496418659142848,0.4650358134085716,
capacity_d3_heldout,3,59,0.65,0.9877777777777778,0.33777777777777773,0.21711772748512498,0.4584378280704305,
capacity_d3_heldout,3,60,0.66,0.9877777777777778,0.3277777777777778,0.19940840530207044,0.4561471502534851,
capacity_d3_heldout,3,61,0.6655555555555556,0.9877777777777778,0.32222222222222224,0.18333413105642207,0.46111031338802244,
capacity_d3_heldout,3,62,0.6711111111111111,0.9877777777777778,0.3166666666666667,0.1730060716111683,0.4603272617221651,
capacity_d3_heldout,3,63,0.6777777777777777,0.991111111111111,0.3133333333333333,0.19135455480134547,0.43531211186532115,
