split,seed,task_id,atomic_rank,composition_rank,hit32_delta,correct_mass_delta
capacity_d3_train,0,d257d5dd7241209c9179,123,6,1,0.04782952040553346
capacity_d3_train,0,d27cd3662913dc6221e0,9,22,0,0.017008591685295962
capacity_d3_train,0,d3545f183e4436717e68,36,9,1,0.06803954786223658
capacity_d3_train,0,d3619f0ae57de133be65,7,1,0,0.12086642663033226
capacity_d3_train,0,d3a89172099c5b718c25,18,37,-1,0.004897257981987167
capacity_d3_train,0,d45f832e454fc637704d,8,10,0,-0.004719387654598676
capacity_d3_train,0,d483e0cc5b33458a50e7,27,2,0,0.11168162871770264
capacity_d3_train,0,d4fc8d2b061cfa4f4d0e,31,24,0,0.007141683521541878
capacity_d3_train,0,d634ca41e0907ab3757a,91,43,0,0.002584743286642016
capacity_d3_train,0,d6a1f83afcdbbfe4782c,23,7,0,0.07508054790787654
capacity_d3_train,0,d742c43b69d371cbe615,4,33,-1,-0.038649782027965804
capacity_d3_train,0,d767f23e38b55c846635,8,18,0,0.01805591744026267
capacity_d3_train,0,d87ba2366aeedd577373,81,8,1,0.04351402263493791
capacity_d3_train,0,d90099764c5ab3c31295,12,5,0,0.09995317269769799
capacity_d3_train,0,da49bd3ba97960942412,41,8,1,0.03449909866157937
capacity_d3_train,0,da5f4dcee381d7427dcf,85,8,1,0.03532006891467405
capacity_d3_train,0,da646c71e15614e9084d,14,17,0,0.010602351537139492
capacity_d3_train,0,db156ee29e89e62c29cc,42,4,1,0.06412223932061642
capacity_d3_train,0,db915c4dd920b0df249a,3,15,0,-0.048269502868203154
capacity_d3_train,0,dbef28fb4f0edb762f69,62,8,1,0.044695661436856576
capacity_d3_train,0,ddaf2f4cb4dfbe69e6b3,10,1,0,0.38882015790897106
capacity_d3_train,0,de898896010feafe5dbe,14,6,0,0.06429310214901407
capacity_d3_train,0,df8fde224aec7bff0910,20,2,0,0.12362236256082809
capacity_d3_train,0,e06407e5c00f2604619e,21,12,0,0.020845298208252053
capacity_d3_train,0,e38759a9e7d85331517a,18,1,0,0.4291999573892269
capacity_d3_train,0,e50d9053043ac6f84fa1,6,44,-1,-0.015503535525165656
capacity_d3_train,0,e59ed4d3979a07c65259,100,11,1,0.025154961888776833
capacity_d3_train,0,e5bd80b563aa0e48027e,1,24,0,-0.9798046855716182
capacity_d3_train,0,e5d453e2dab1c566896e,53,6,1,0.05831380812698743
capacity_d3_train,0,e79a555b0ef2ca4024db,20,1,0,0.14902776076359778
capacity_d3_train,0,e8b4348a4354a3a1cc00,30,29,0,0.010579058089368059
capacity_d3_train,0,e8c2bef17a51fb7888b1,14,6,0,0.0671475156098989
capacity_d3_train,0,ead10bb43bfcc957795e,27,6,0,0.051699202802994317
capacity_d3_train,0,eb09f014ee664a9cedb4,20,1,0,0.18512322330677156
capacity_d3_train,0,ebeae26e64dafcf25711,86,21,1,0.015653870200026995
capacity_d3_train,0,edfd515e2e0cada826ec,24,5,0,0.053540572001562266
capacity_d3_train,0,eec10903f3c81b8f14c2,14,5,0,0.04563801940927657
capacity_d3_train,0,eeefc16395eacc9e5481,10,30,0,0.003304074329579127
capacity_d3_train,0,ef30ebb77043e62bb120,125,24,1,0.0065787700415677
capacity_d3_train,0,ef949e4160127164466f,23,5,0,0.05988607299711179
capacity_d3_train,0,efa764d3c55de23eaf65,78,27,1,0.01365171293607922
capacity_d3_train,0,efc6f0dc820c8569b757,1,10,0,-0.6023527290543719
capacity_d3_train,0,f003b9bc5f14e7213a5b,4,15,0,-0.054983920558444505
capacity_d3_train,0,f133c7fee1f9d359ac91,53,8,1,0.04592079075689857
capacity_d3_train,0,f2db00d7817299170869,56,9,1,0.0446472051427395
capacity_d3_train,0,f3499238f592d09a6c1f,16,6,0,0.063207152871203
capacity_d3_train,0,f37240b8579c5657942e,85,6,1,0.07423603249425006
capacity_d3_train,0,f374fc72c2029ff16461,46,6,1,0.048051806288067586
capacity_d3_train,0,f39cc05c0c2cf3fa21ae,19,10,0,0.044768986084996104
capacity_d3_train,0,f3e95029a6be48f6cd60,22,56,-1,0.0009730499110387608
capacity_d3_train,0,f7ef72e6cafafed31433,17,18,0,0.04585765557835347
capacity_d3_train,0,f815b8737a4601b3c1eb,97,5,1,0.05476567909709397
capacity_d3_train,0,f816c813f33ec41d24c9,19,11,0,0.04995580751630271
capacity_d3_train,0,f836c8679cdf505d2bdf,111,10,1,0.04329983135571425
capacity_d3_train,0,fa081ffbc49cc9d7182f,6,29,0,0.011598287591642203
capacity_d3_train,0,fc70c176440e5ffc498d,13,40,-1,0.0031647608089774197
capacity_d3_train,0,fe31ce59cf884062a14d,2,5,0,-0.09439630139165563
capacity_d3_train,0,ff1f95e38d998dfee013,41,4,1,0.07553175301075546
capacity_d3_train,0,ff7bc74db7d6740b4ef6,22,2,0,0.10632879098597653
capacity_d3_train,0,ffdf328a8016809b2166,41,1,1,0.31132938335550087
capacity_d3_train,1,003f757e15f91eeb14db,1,1,0,-0.6871621881427303
capacity_d3_train,1,008b7a6b50b9a482195d,4,3,0,0.02185626911268496
capacity_d3_train,1,01964fa3510592df0119,56,28,1,0.008500712320129479
capacity_d3_train,1,01ac7dcb5f8f658f41cd,81,9,1,0.027212500260321643
capacity_d3_train,1,0274dfa29a2a679f3f31,74,1,1,0.6269089493197902
capacity_d3_train,1,04f66b59f47eeba019ff,69,15,1,0.006899598722907399
capacity_d3_train,1,0600632ab50f84b4a21d,82,8,1,0.048070406437846956
capacity_d3_train,1,0642c8485322e6de643c,63,55,0,0.0011782457842448265
capacity_d3_train,1,06aff4ac84d93deba687,49,5,1,0.041993857613032815
capacity_d3_train,1,06b129e89f0c849e34b1,98,13,1,0.024753213998958898
capacity_d3_train,1,06ddc0a57804f07b0663,57,9,1,0.02969225125450532
capacity_d3_train,1,086d76944b2b2970b882,33,25,1,0.006794927881843126
capacity_d3_train,1,08f510f5963dfe3535d8,17,2,0,0.14534637671985345
capacity_d3_train,1,0a2f9f3ef77e2f1ea893,19,5,0,0.099126750290561
capacity_d3_train,1,0c755962b40f03d1dc10,60,3,1,0.0920821108994356
capacity_d3_train,1,0eb88a23f0e3bb0b2809,115,4,1,0.06568576401652106
capacity_d3_train,1,0f6b276fe1e2f75ed62f,32,10,0,0.06297889489356076
capacity_d3_train,1,11fb635c4f8e150d18f7,18,9,0,0.032808978279728736
capacity_d3_train,1,1378b93ccdbc363eae10,50,2,1,0.07366820552391608
capacity_d3_train,1,13a0fb55f04397134ae3,54,13,1,0.026332602475716695
capacity_d3_train,1,13a362b1534feebee01e,52,2,1,0.11966052957650397
capacity_d3_train,1,13bfc7c475357c054c15,16,26,0,0.006565938589993164
capacity_d3_train,1,14119511459c97cf9ce7,26,28,0,0.015023604303647818
capacity_d3_train,1,1471c45a2b4d1112441b,54,6,1,0.06864285148876456
capacity_d3_train,1,15d9c1bd9b90a74be8b2,3,21,0,-0.08520404867531763
capacity_d3_train,1,167ad39aa3a41e9d217d,66,5,1,0.10272317300598237
capacity_d3_train,1,17b36e984ad39cbf2481,49,2,1,0.18893274038885866
capacity_d3_train,1,188552f078160d68300a,57,2,1,0.18598110923797515
capacity_d3_train,1,19b8dd281e617e0dea22,83,3,1,0.05745348370135825
capacity_d3_train,1,1a5ce978d803b41fb565,56,1,1,0.18060290935900192
capacity_d3_train,1,1c35fa097a57c8e607f7,4,54,-1,-0.015549295013552894
capacity_d3_train,1,1c68bcc85b4aee8d336a,92,1,1,0.2033136586289011
capacity_d3_train,1,1cdcfb4c5c1d908affd5,81,29,1,0.014568188154523954
capacity_d3_train,1,1cff813e6d4ab9d7ef2f,46,1,1,0.10112829052650099
capacity_d3_train,1,1ec3c44a89b5d7fc4d56,63,24,1,0.01572802917056511
