split,seed,k,n,atomic_control,composition,delta
capacity_d3_train,0,87,300,0.8633333333333333,0.9933333333333333,0.13
capacity_d3_train,1,87,300,0.8533333333333334,1.0,0.14666666666666667
capacity_d3_train,2,87,300,0.9,1.0,0.1
capacity_d3_train,0,88,300,0.8666666666666667,0.9933333333333333,0.12666666666666668
capacity_d3_train,1,88,300,0.8533333333333334,1.0,0.14666666666666667
capacity_d3_train,2,88,300,0.9,1.0,0.1
capacity_d3_train,0,89,300,0.87,0.9933333333333333,0.12333333333333334
capacity_d3_train,1,89,300,0.8533333333333334,1.0,0.14666666666666667
capacity_d3_train,2,89,300,0.9,1.0,0.1
capacity_d3_train,0,90,300,0.87,0.9933333333333333,0.12333333333333334
capacity_d3_train,1,90,300,0.8566666666666667,1.0,0.14333333333333334
capacity_d3_train,2,90,300,0.9,1.0,0.1
capacity_d3_train,0,91,300,0.8733333333333333,0.9933333333333333,0.12
capacity_d3_train,1,91,300,0.8566666666666667,1.0,0.14333333333333334
capacity_d3_train,2,91,300,0.9033333333333333,1.0,0.09666666666666666
capacity_d3_train,0,92,300,0.88,0.9966666666666667,0.11666666666666667
capacity_d3_train,1,92,300,0.8666666666666667,1.0,0.13333333333333333
capacity_d3_train,2,92,300,0.9033333333333333,1.0,0.09666666666666666
capacity_d3_train,0,93,300,0.8833333333333333,0.9966666666666667,0.11333333333333333
capacity_d3_train,1,93,300,0.8766666666666667,1.0,0.12333333333333334
capacity_d3_train,2,93,300,0.9033333333333333,1.0,0.09666666666666666
capacity_d3_train,0,94,300,0.8866666666666667,0.9966666666666667,0.11
capacity_d3_train,1,94,300,0.8866666666666667,1.0,0.11333333333333333
capacity_d3_train,2,94,300,0.91,1.0,0.09
capacity_d3_train,0,95,300,0.8866666666666667,1.0,0.11333333333333333
capacity_d3_train,1,95,300,0.8933333333333333,1.0,0.10666666666666667
capacity_d3_train,2,95,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,0,96,300,0.8866666666666667,1.0,0.11333333333333333
capacity_d3_train,1,96,300,0.8966666666666666,1.0,0.10333333333333333
capacity_d3_train,2,96,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,0,97,300,0.8933333333333333,1.0,0.10666666666666667
capacity_d3_train,1,97,300,0.9033333333333333,1.0,0.09666666666666666
capacity_d3_train,2,97,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,0,98,300,0.8966666666666666,1.0,0.10333333333333333
capacity_d3_train,1,98,300,0.91,1.0,0.09
capacity_d3_train,2,98,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,0,99,300,0.9,1.0,0.1
capacity_d3_train,1,99,300,0.9166666666666666,1.0,0.08333333333333333
capacity_d3_train,2,99,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,0,100,300,0.9066666666666666,1.0,0.09333333333333334
capacity_d3_train,1,100,300,0.9266666666666666,1.0,0.07333333333333333
capacity_d3_train,2,100,300,0.9166666666666666,1.0,0.08333333333333333
capacity_d3_train,0,101,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,1,101,300,0.9266666666666666,1.0,0.07333333333333333
capacity_d3_train,2,101,300,0.9233333333333333,1.0,0.07666666666666666
capacity_d3_train,0,102,300,0.9133333333333333,1.0,0.08666666666666667
capacity_d3_train,1,102,300,0.9266666666666666,1.0,0.07333333333333333
capacity_d3_train,2,102,300,0.9333333333333333,1.0,0.06666666666666667
capacity_d3_train,0,103,300,0.9166666666666666,1.0,0.08333333333333333
capacity_d3_train,1,103,300,0.9266666666666666,1.0,0.07333333333333333
capacity_d3_train,2,103,300,0.9333333333333333,1.0,0.06666666666666667
capacity_d3_train,0,104,300,0.9333333333333333,1.0,0.06666666666666667
capacity_d3_train,1,104,300,0.9266666666666666,1.0,0.07333333333333333
capacity_d3_train,2,104,300,0.94,1.0,0.06
capacity_d3_train,0,105,300,0.9366666666666666,1.0,0.06333333333333334
capacity_d3_train,1,105,300,0.93,1.0,0.07
capacity_d3_train,2,105,300,0.9433333333333334,1.0,0.056666666666666664
capacity_d3_train,0,106,300,0.94,1.0,0.06
