replicate,arm,task_id,task_fingerprint,best_rank,correct_programs,entropy_nats,effective_programs,correct_mass,correct_entropy_nats
0,atomic_control,s4c-0b752d702fdcc3b1ad50df8c,0b752d702fdcc3b1ad50df8c466bda9ec30d589dbd0731436c3afb840e380661,42,1,0.38727626964445827,1.4729633701329752,6.2606399440322e-11,-0.0
0,atomic_control,s4c-0b7712e30e3f502c066b3cdd,0b7712e30e3f502c066b3cdd132b9873161cb1e3e18d460a2e70975b6ef740ed,61,3,0.5908463303564246,1.805515831814716,2.3981949979187553e-11,0.03584435626159226
0,atomic_control,s4c-0bc95649776f1b408d9357ea,0bc95649776f1b408d9357ea94b79a184bb24c1b9765e17544d0762f098abc4b,27,1,1.6782679722052873,5.356270722521484,2.446844236560097e-06,-0.0
0,atomic_control,s4c-0c2e65ca1d5ad8c104d376e1,0c2e65ca1d5ad8c104d376e14d3c1a40c9348a46ac35e62a36ebe03e64beb945,36,3,0.14785922509654648,1.1593496775357621,1.9144762085693863e-11,0.14588421767696885
0,atomic_control,s4c-0c313218028ab5d38b5fd556,0c313218028ab5d38b5fd55616dac2437ef9be43121462ba1d756017845cb364,84,3,1.0209202688521617,2.775748023388917,3.5392061222835237e-13,0.0011283218746654569
0,atomic_control,s4c-0c6214fbf3351889d33c6581,0c6214fbf3351889d33c65817b94ad26f0a9f73733be32d3c2dc23a9f002faff,58,1,0.5345457524624582,1.7066728142261571,1.000658926475536e-10,-0.0
0,atomic_control,s4c-0c941b7d3eba19cf6eabc9b2,0c941b7d3eba19cf6eabc9b2e18170b185de9d0d183b48e2ee034f712ee72612,24,1,0.8239156168462625,2.2794076734004953,3.3963162628346704e-07,-0.0
0,atomic_control,s4c-0ccf05a4c9ff9f60699cfb03,0ccf05a4c9ff9f60699cfb034b824d06ee7477d5c68d8a2e71edb4b4da57cdd7,43,1,0.28197762027838663,1.3257490497601248,2.742158838137068e-10,-0.0
0,atomic_control,s4c-0cff8c1b4df05fcf44e28e81,0cff8c1b4df05fcf44e28e817174f59b887cf8caf369cb25cb667b9468e7c69d,50,3,1.6076125600433577,4.990881562758714,1.2537921553372669e-08,0.017290903204282164
0,atomic_control,s4c-0d0972fde6f2f6492fed3b29,0d0972fde6f2f6492fed3b29d24c46329acbe5aa4edc0aacbe57773ebd218b7d,51,3,0.5975659852866511,1.817689129549828,3.800850002916211e-09,0.022149921433366897
